age,educ,black,hisp,married,nodegr,re78,treat
37,11,1,0,1,1,9930.05,1
22,9,0,1,0,1,3595.89,1
30,12,1,0,0,0,24909.5,1
27,11,1,0,0,1,7506.15,1
33,8,1,0,0,1,289.79,1
22,9,1,0,0,1,4056.49,1
23,12,1,0,0,0,0.0,1
32,11,1,0,0,1,8472.16,1
22,16,1,0,0,0,2164.02,1
33,12,0,0,1,0,12418.1,1
19,9,1,0,0,1,8173.91,1
21,13,1,0,0,0,17094.6,1
18,8,1,0,0,1,0.0,1
27,10,1,0,1,1,18739.9,1
17,7,1,0,0,1,3023.88,1
19,10,1,0,0,1,3228.5,1
27,13,1,0,0,0,14581.9,1
23,10,1,0,0,1,7693.4,1
40,12,1,0,0,0,10804.3,1
26,12,1,0,0,0,10747.4,1
23,11,1,0,0,1,0.0,1
41,14,0,0,0,0,5149.5,1
38,9,0,0,0,1,6408.95,1
24,11,1,0,0,1,1991.4,1
18,10,1,0,0,1,11163.2,1
29,11,1,0,1,1,9643.0,1
25,11,1,0,0,1,9897.05,1
27,10,0,1,0,1,11142.9,1
17,10,1,0,0,1,16218.0,1
24,11,1,0,0,1,995.7,1
17,10,1,0,0,1,0.0,1
48,4,1,0,0,1,6551.59,1
25,11,1,0,1,1,1574.42,1
20,12,1,0,0,0,0.0,1
25,12,1,0,0,0,3191.75,1
42,14,1,0,0,0,20505.9,1
25,5,1,0,0,1,6181.88,1
23,12,1,0,1,0,5911.55,1
46,8,1,0,1,1,3094.16,1
24,10,1,0,0,1,0.0,1
21,12,1,0,0,0,1254.58,1
19,9,0,0,0,1,13188.8,1
17,8,1,0,0,1,8061.49,1
18,8,0,1,1,1,2787.96,1
20,11,1,0,0,1,3972.54,1
25,11,1,0,1,1,0.0,1
17,8,1,0,0,1,0.0,1
17,9,1,0,0,1,0.0,1
25,5,1,0,0,1,12187.4,1
23,12,1,0,0,0,4843.18,1
28,8,1,0,0,1,0.0,1
31,11,1,0,1,1,8087.49,1
18,11,1,0,0,1,0.0,1
25,12,1,0,0,0,2348.97,1
30,11,1,0,1,1,590.782,1
17,10,1,0,0,1,0.0,1
37,9,1,0,0,1,1067.51,1
41,4,1,0,1,1,7284.99,1
42,14,1,0,1,0,13167.5,1
22,11,0,0,0,1,1048.43,1
17,8,1,0,0,1,0.0,1
29,8,1,0,0,1,1923.94,1
35,10,1,0,0,1,4666.24,1
27,11,1,0,0,1,549.298,1
29,4,1,0,0,1,762.915,1
28,9,1,0,0,1,10694.3,1
27,11,1,0,0,1,0.0,1
23,7,0,0,0,1,0.0,1
45,5,1,0,1,1,8546.72,1
29,13,1,0,0,0,7479.66,1
27,9,1,0,0,1,0.0,1
46,13,1,0,0,0,647.205,1
18,6,1,0,0,1,0.0,1
25,12,1,0,0,0,11965.8,1
28,15,1,0,0,0,9598.54,1
25,11,0,0,0,1,18783.4,1
22,12,1,0,0,0,18678.1,1
21,9,1,0,0,1,0.0,1
40,11,1,0,0,1,23005.6,1
22,11,1,0,0,1,6456.7,1
25,12,1,0,0,0,0.0,1
18,12,1,0,0,0,2321.11,1
38,12,0,0,0,0,4941.85,1
27,13,1,0,0,0,0.0,1
27,8,1,0,0,1,0.0,1
38,11,1,0,0,1,0.0,1
23,8,0,1,0,1,3881.28,1
26,11,1,0,0,1,17231.0,1
21,12,0,0,0,0,8048.6,1
25,8,1,0,0,1,0.0,1
31,11,1,0,1,1,14509.9,1
17,10,1,0,0,1,0.0,1
25,11,1,0,0,1,0.0,1
21,12,1,0,0,0,9983.78,1
44,11,1,0,0,1,0.0,1
25,12,0,0,0,0,5587.5,1
18,9,1,0,0,1,4482.85,1
42,12,1,0,0,0,2456.15,1
25,10,1,0,0,1,0.0,1
31,9,0,1,0,1,26817.6,1
24,10,1,0,0,1,0.0,1
26,10,1,0,0,1,9265.79,1
25,11,1,0,0,1,485.23,1
18,11,1,0,0,1,4814.63,1
19,11,1,0,0,1,7458.11,1
43,9,1,0,0,1,0.0,1
27,13,1,0,0,0,34099.3,1
17,9,1,0,0,1,1953.27,1
30,11,1,0,0,1,0.0,1
26,10,1,0,1,1,0.0,1
20,9,1,0,0,1,8881.67,1
17,9,0,1,0,1,6210.67,1
20,12,1,0,0,0,0.0,1
18,11,1,0,0,1,929.884,1
27,12,1,0,1,0,0.0,1
21,12,0,0,0,0,12558.0,1
27,12,1,0,0,0,22163.3,1
20,12,1,0,0,0,1652.64,1
19,10,1,0,0,1,8124.72,1
23,12,1,0,0,0,671.332,1
29,14,1,0,0,0,17815.0,1
18,10,1,0,0,1,9737.15,1
19,9,1,0,0,1,17685.2,1
27,13,0,0,1,0,0.0,1
18,11,0,0,0,1,4321.71,1
27,9,1,0,1,1,1773.42,1
22,12,1,0,0,0,0.0,1
23,10,1,0,1,1,11233.3,1
23,12,0,1,0,0,559.443,1
20,11,1,0,0,1,1085.44,1
17,9,1,0,0,1,5445.2,1
28,11,1,0,0,1,60307.9,1
26,11,1,0,1,1,1460.36,1
20,11,1,0,0,1,6943.34,1
24,11,1,0,1,1,4032.71,1
31,9,1,0,0,1,10363.3,1
23,8,0,0,1,1,4232.31,1
18,10,1,0,0,1,11141.4,1
29,12,1,0,0,0,0.0,1
26,11,0,0,0,1,13385.9,1
24,9,1,0,0,1,4849.56,1
25,12,1,0,0,0,0.0,1
24,10,1,0,0,1,1660.51,1
46,8,1,0,0,1,0.0,1
31,12,0,0,0,0,2484.55,1
19,11,1,0,0,1,4146.6,1
19,8,1,0,0,1,9970.68,1
27,11,1,0,0,1,0.0,1
26,11,1,0,1,1,26372.3,1
20,10,1,0,0,1,5615.19,1
28,10,1,0,0,1,3196.57,1
24,12,1,0,0,0,6167.68,1
19,8,1,0,0,1,7535.94,1
23,12,1,0,0,0,8484.24,1
42,9,1,0,1,1,1294.41,1
25,13,1,0,0,0,0.0,1
18,9,1,0,0,1,5010.34,1
21,12,1,0,0,0,9371.04,1
27,10,1,0,0,1,0.0,1
21,8,1,0,0,1,4279.61,1
22,9,1,0,0,1,3462.56,1
31,4,1,0,0,1,7382.55,1
24,10,1,0,1,1,0.0,1
29,10,1,0,0,1,0.0,1
29,12,1,0,0,0,10976.5,1
19,10,0,0,0,1,13829.6,1
19,11,0,1,1,1,6788.46,1
31,9,1,0,0,1,9558.5,1
22,10,1,0,1,1,13228.3,1
21,9,1,0,0,1,743.667,1
17,10,1,0,0,1,5522.79,1
26,12,1,0,1,0,1424.94,1
20,9,0,1,0,1,1358.64,1
19,10,1,0,0,1,0.0,1
26,10,1,0,0,1,672.877,1
28,11,1,0,0,1,0.0,1
22,12,0,1,1,0,10092.8,1
33,11,1,0,0,1,6281.43,1
22,12,0,0,0,0,12590.7,1
29,10,0,1,0,1,5112.01,1
33,12,1,0,1,0,15952.6,1
25,14,1,0,1,0,36647.0,1
35,9,1,0,1,1,12804.0,1
35,8,1,0,1,1,3786.63,1
33,11,1,0,1,1,4181.94,1
23,10,1,0,0,1,0.0,0
26,12,0,0,0,0,12383.7,0
22,9,1,0,0,1,0.0,0
18,9,1,0,0,1,10740.1,0
45,11,1,0,0,1,11796.5,0
18,9,1,0,0,1,9227.05,0
24,8,0,0,0,1,10569.3,0
34,11,1,0,1,1,6040.34,0
24,4,0,1,0,1,3880.83,0
36,10,1,0,0,1,0.0,0
21,14,1,0,0,0,5775.06,0
28,9,1,0,0,1,0.0,0
27,7,1,0,1,1,0.0,0
19,11,0,0,0,1,0.0,0
20,8,1,0,0,1,0.0,0
34,12,1,0,0,0,2113.72,0
24,10,1,0,0,1,7618.64,0
22,8,0,1,0,1,9920.95,0
25,11,1,0,0,1,4196.38,0
39,9,1,0,0,1,0.0,0
19,9,1,0,1,1,16658.3,0
44,9,1,0,0,1,9722.0,0
27,8,1,0,0,1,3783.66,0
25,8,1,0,0,1,3515.93,0
31,10,1,0,0,1,17014.6,0
34,10,1,0,1,1,0.0,0
21,7,0,1,0,1,0.0,0
33,12,1,0,0,0,5970.26,0
18,10,0,1,0,1,1859.17,0
26,12,1,0,1,0,6191.94,0
31,12,1,0,0,0,7284.39,0
35,10,1,0,0,1,445.831,0
20,12,1,0,0,0,0.0,0
25,11,1,0,0,1,0.0,0
25,10,1,0,0,1,7367.04,0
35,11,1,0,0,1,0.0,0
20,10,1,0,0,1,2015.5,0
25,9,0,1,0,1,15791.1,0
27,10,1,0,0,1,1135.47,0
20,11,0,1,0,1,6378.72,0
26,11,1,0,0,1,7176.19,0
38,8,1,0,0,1,0.0,0
34,10,1,0,0,1,7952.54,0
19,12,1,0,0,0,0.0,0
32,8,1,0,0,1,7152.13,0
20,9,0,1,0,1,8329.82,0
23,10,1,0,0,1,0.0,0
38,10,1,0,0,1,12429.9,0
24,11,1,0,0,1,0.0,0
23,11,1,0,0,1,5088.76,0
20,7,0,1,0,1,4374.04,0
21,11,1,0,0,1,1553.29,0
25,10,1,0,0,1,0.0,0
22,11,1,0,1,1,1698.3,0
23,11,1,0,0,1,0.0,0
24,12,0,0,0,0,11294.6,0
29,11,1,0,0,1,0.0,0
24,11,1,0,0,1,14626.4,0
22,9,1,0,0,1,12898.4,0
28,11,1,0,0,1,5767.13,0
18,10,0,1,0,1,6527.92,0
26,10,1,0,0,1,3931.24,0
25,10,1,0,0,1,20942.2,0
24,10,1,0,0,1,0.0,0
26,5,1,0,0,1,0.0,0
36,10,1,0,0,1,14690.4,0
22,11,1,0,0,1,0.0,0
25,12,1,0,0,0,3418.1,0
27,11,1,0,0,1,11197.3,0
29,8,1,0,0,1,0.0,0
24,12,1,0,0,0,0.0,0
22,10,1,0,0,1,0.0,0
24,7,1,0,0,1,1455.69,0
29,12,1,0,0,0,1890.94,0
25,11,0,1,1,1,4485.62,0
30,12,1,0,0,0,13613.4,0
22,8,1,0,0,1,1390.51,0
55,3,1,0,0,1,5843.8,0
20,10,1,0,0,1,8598.52,0
34,11,1,0,0,1,2920.2,0
22,12,1,0,0,0,0.0,0
32,12,0,1,1,0,6735.32,0
31,10,1,0,0,1,0.0,0
18,9,1,0,0,1,0.0,0
50,10,0,1,0,1,0.0,0
25,11,1,0,1,1,44.7555,0
23,10,1,0,1,1,0.0,0
38,10,1,0,0,1,0.0,0
25,10,1,0,1,1,3701.81,0
42,10,1,0,0,1,6930.34,0
39,12,1,0,1,0,3795.8,0
34,13,1,0,1,0,5193.25,0
24,7,1,0,0,1,2193.53,0
32,11,1,0,0,1,11120.5,0
27,13,1,0,0,0,7609.52,0
26,10,1,0,0,1,2169.03,0
44,11,1,0,0,1,0.0,0
25,11,1,0,0,1,1264.23,0
25,12,1,0,0,0,0.0,0
28,12,1,0,1,0,0.0,0
32,10,1,0,0,1,0.0,0
22,10,1,0,0,1,0.0,0
19,9,1,0,0,1,5712.64,0
31,10,1,0,1,1,0.0,0
23,11,1,0,0,1,0.0,0
33,11,1,0,0,1,0.0,0
27,10,1,0,0,1,1184.88,0
29,11,1,0,1,1,10225.9,0
23,10,1,0,0,1,0.0,0
25,9,1,0,1,1,4715.37,0
25,10,1,0,0,1,289.79,0
24,10,1,0,0,1,0.0,0
28,8,0,0,0,1,8190.42,0
26,6,1,0,0,1,4813.05,0
30,14,1,0,1,0,7344.68,0
25,10,1,0,1,1,0.0,0
29,11,1,0,1,1,0.0,0
25,12,1,0,1,0,0.0,0
28,13,1,0,0,0,0.0,0
23,11,1,0,0,1,4350.91,0
54,11,1,0,0,1,7812.52,0
33,5,0,1,0,1,0.0,0
20,8,1,0,0,1,3644.66,0
45,9,1,0,0,1,4844.8,0
39,6,1,0,0,1,0.0,0
26,12,1,0,0,0,0.0,0
23,10,1,0,0,1,0.0,0
27,12,0,0,0,0,14792.9,0
33,9,0,1,1,1,0.0,0
25,10,1,0,1,1,0.0,0
23,8,1,0,0,1,3746.7,0
18,8,1,0,0,1,1568.15,0
17,8,1,0,0,1,7010.44,0
19,9,0,1,0,1,3811.68,0
18,8,0,1,0,1,10798.6,0
18,11,1,0,0,1,4657.27,0
17,11,1,0,0,1,8551.53,0
19,10,1,0,0,1,4309.88,0
19,10,1,0,0,1,5286.4,0
18,9,1,0,0,1,12486.2,0
18,9,1,0,0,1,10877.4,0
18,10,1,0,0,1,202.285,0
17,10,1,0,0,1,2657.71,0
18,7,1,0,0,1,4132.58,0
18,11,1,0,0,1,11303.1,0
19,10,0,1,0,1,0.0,0
18,9,1,0,0,1,0.0,0
17,10,1,0,0,1,0.0,0
17,10,1,0,0,1,2189.43,0
19,11,1,0,0,1,0.0,0
17,8,0,0,0,1,10211.0,0
18,10,1,0,0,1,11048.1,0
18,9,1,0,0,1,0.0,0
17,8,1,0,0,1,8993.87,0
19,6,0,1,0,1,5071.8,0
19,10,0,0,0,1,3194.01,0
17,11,0,0,0,1,0.0,0
20,9,1,0,0,1,5193.09,0
17,9,1,0,0,1,0.0,0
17,10,1,0,0,1,275.566,0
17,9,1,0,0,1,3590.7,0
19,11,1,0,0,1,0.0,0
19,10,1,0,1,1,12797.7,0
20,9,1,0,0,1,2035.91,0
18,9,1,0,0,1,2389.68,0
18,11,1,0,0,1,0.0,0
17,10,0,1,0,1,8469.28,0
19,11,1,0,0,1,0.0,0
17,10,1,0,0,1,1143.39,0
17,9,0,1,0,1,5114.81,0
18,10,1,0,0,1,781.224,0
21,9,1,0,0,1,3343.22,0
18,10,1,0,0,1,9602.44,0
19,11,1,0,0,1,0.0,0
24,9,1,0,0,1,16461.6,0
28,11,0,1,1,1,6771.62,0
25,11,1,0,0,1,0.0,0
21,7,1,0,0,1,11011.6,0
39,11,1,0,0,1,0.0,0
36,12,1,0,0,0,0.0,0
24,12,1,0,0,0,0.0,0
17,11,1,0,0,1,4251.13,0
18,10,1,0,0,1,2891.67,0
18,10,1,0,0,1,5514.37,0
28,10,1,0,0,1,4858.9,0
27,13,0,0,0,0,4812.58,0
31,12,0,0,0,0,0.0,0
22,9,1,0,0,1,604.199,0
31,10,1,0,0,1,14527.9,0
26,10,1,0,1,1,0.0,0
18,9,0,0,0,1,7300.5,0
23,11,1,0,0,1,0.0,0
20,12,1,0,0,0,4159.92,0
19,10,1,0,0,1,0.0,0
18,11,1,0,0,1,5497.59,0
17,10,1,0,0,1,0.0,0
27,12,1,0,1,0,0.0,0
27,11,1,0,0,1,0.0,0
28,12,0,0,0,0,16477.0,0
28,11,1,0,0,1,0.0,0
21,10,1,0,0,1,39483.5,0
17,10,0,1,0,1,11306.3,0
26,11,1,0,0,1,6672.02,0
29,9,1,0,0,1,9378.65,0
17,10,0,1,0,1,5088.99,0
22,11,1,0,0,1,2639.29,0
24,11,1,0,0,1,9495.9,0
20,12,1,0,0,0,20893.1,0
18,12,1,0,0,0,0.0,0
24,11,0,0,0,1,10361.7,0
21,9,0,0,0,1,1740.2,0
30,8,1,0,0,1,0.0,0
31,11,1,0,0,1,0.0,0
17,10,0,1,0,1,6354.19,0
19,9,1,0,0,1,7171.0,0
23,11,1,0,0,1,5573.55,0
22,12,1,0,0,0,439.688,0
29,12,1,0,0,0,16970.0,0
22,10,1,0,0,1,5344.02,0
29,13,1,0,0,0,2725.32,0
19,11,1,0,0,1,9772.28,0
17,9,1,0,0,1,0.0,0
18,10,1,0,0,1,0.0,0
19,12,1,0,0,0,1720.91,0
20,6,1,0,0,1,0.0,0
33,11,1,0,0,1,18859.9,0
36,11,0,1,0,1,1324.54,0
25,11,1,0,0,1,284.658,0
19,11,1,0,0,1,11195.9,0
23,8,1,0,0,1,0.0,0
17,11,1,0,0,1,0.0,0
43,10,1,0,0,1,7565.27,0
26,11,1,0,1,1,0.0,0
27,11,1,0,1,1,0.0,0
19,11,1,0,0,1,0.0,0
28,11,1,0,1,1,4974.59,0
28,12,1,0,1,0,12780.0,0
26,8,1,0,0,1,3523.58,0
31,12,1,0,0,0,0.0,0
23,11,1,0,0,1,10274.8,0
20,12,1,0,0,0,4779.72,0
28,10,1,0,1,1,16988.2,0
39,12,1,0,1,0,499.257,0
21,8,1,0,0,1,3083.58,0
22,11,1,0,0,1,3708.72,0
20,11,1,0,0,1,7659.22,0
21,11,0,1,0,1,20857.8,0
23,12,0,1,0,0,7078.18,0
29,9,1,0,0,1,0.0,0
28,9,1,0,1,1,1239.84,0
30,11,1,0,1,1,3982.8,0
25,10,1,0,1,1,0.0,0
28,11,1,0,1,1,0.0,0
22,10,0,0,0,1,7094.92,0
44,9,1,0,1,1,12359.3,0
21,9,1,0,0,1,0.0,0
28,11,1,0,0,1,0.0,0
29,9,0,1,0,1,16900.3,0
25,9,1,0,1,1,7343.96,0
22,10,0,0,1,1,5448.8,0
